job;marital;education;default;housing;loan;contact;month;poutcome;Fac-age;Fac-balance;Fac-duration;Fac-campaign;Fac-pday;Fac-pervious;y
self-employed;single;secondary;no;no;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
admin.;married;secondary;no;yes;no;cellular;jul;unknown;young;normal;long;new;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;young;bust;long;repeat;new;new;no
technician;single;tertiary;no;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
management;married;tertiary;no;yes;no;cellular;apr;unknown;mid;normal;long;new;new;new;no
blue-collar;married;secondary;no;no;no;cellular;oct;unknown;old;rich;long;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;bust;long;new;new;new;no
housemaid;married;primary;no;no;no;cellular;aug;unknown;mid;rich;overtime;repeat;new;new;no
blue-collar;married;primary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
admin.;married;primary;no;yes;no;cellular;apr;failure;mid;rich;long;repeat;old;old;no
technician;divorced;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
retired;divorced;tertiary;no;yes;yes;unknown;may;unknown;mid;rich;normal;try-harder;new;new;no
admin.;divorced;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
blue-collar;married;primary;no;yes;no;cellular;jul;unknown;mid;bust;long;repeat;new;new;no
admin.;married;secondary;no;yes;no;cellular;jul;unknown;mid;rich;short;try-harder;new;new;no
management;divorced;tertiary;no;no;yes;cellular;aug;unknown;mid;rich;normal;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;jun;unknown;mid;normal;overtime;new;new;new;no
management;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;no
blue-collar;married;primary;no;no;no;cellular;apr;unknown;mid;rich;long;repeat;new;new;no
entrepreneur;divorced;tertiary;no;no;yes;cellular;feb;unknown;mid;normal;overtime;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;overtime;new;new;new;no
technician;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
management;married;tertiary;no;no;no;cellular;aug;unknown;mid;rich;short;try-harder;new;new;no
blue-collar;divorced;unknown;no;no;no;cellular;jun;unknown;mid;normal;long;new;new;new;yes
management;married;tertiary;no;yes;no;cellular;aug;success;mid;normal;long;new;old;old;yes
management;married;tertiary;no;yes;no;cellular;may;failure;mid;normal;long;new;old;old;no
technician;married;secondary;no;no;no;unknown;jun;unknown;mid;normal;overtime;try-harder;new;new;no
blue-collar;married;secondary;no;no;no;cellular;jun;unknown;mid;normal;long;new;new;new;yes
technician;married;secondary;no;no;no;cellular;feb;unknown;mid;normal;normal;repeat;new;new;yes
management;married;tertiary;no;no;no;cellular;aug;unknown;mid;rich;short;try-harder;new;new;no
services;single;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
blue-collar;single;unknown;no;yes;no;cellular;may;unknown;mid;normal;long;new;new;new;no
management;divorced;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
technician;divorced;secondary;no;no;no;cellular;aug;unknown;mid;normal;short;repeat;new;new;no
management;married;tertiary;no;no;yes;cellular;jul;unknown;mid;normal;long;new;new;new;no
admin.;married;secondary;no;no;no;telephone;jan;unknown;mid;rich;long;repeat;new;new;no
management;single;tertiary;no;no;no;cellular;feb;unknown;mid;normal;long;new;new;new;no
retired;divorced;unknown;no;yes;no;cellular;jul;unknown;mid;rich;long;new;new;new;no
management;single;tertiary;no;yes;no;cellular;aug;unknown;mid;normal;short;repeat;new;new;no
unemployed;single;secondary;no;no;no;cellular;aug;other;young;rich;normal;new;old;old;no
management;divorced;unknown;no;yes;no;unknown;may;unknown;mid;normal;normal;new;new;new;no
technician;single;secondary;no;no;no;unknown;jul;unknown;mid;bust;long;repeat;new;new;no
technician;single;tertiary;no;yes;no;cellular;apr;unknown;mid;rich;overtime;repeat;new;new;no
technician;married;secondary;no;yes;yes;cellular;feb;failure;mid;normal;normal;new;old;old;no
blue-collar;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;overtime;new;new;new;no
admin.;married;secondary;no;no;yes;cellular;aug;unknown;mid;rich;overtime;repeat;new;new;no
blue-collar;single;secondary;no;yes;no;unknown;may;unknown;mid;rich;short;try-harder;new;new;no
management;divorced;primary;no;no;no;cellular;nov;unknown;mid;normal;long;new;new;new;no
management;single;tertiary;no;no;no;cellular;jun;unknown;mid;rich;overtime;repeat;new;new;yes
self-employed;married;secondary;no;no;no;unknown;jun;unknown;mid;normal;long;try-harder;new;new;no
blue-collar;married;secondary;no;yes;yes;cellular;jan;failure;mid;rich;long;new;old;old;no
management;single;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;primary;no;no;no;telephone;apr;unknown;mid;rich;long;new;new;new;no
self-employed;married;primary;no;yes;no;cellular;aug;failure;mid;normal;long;new;old;old;yes
admin.;married;secondary;no;yes;no;cellular;jul;unknown;mid;normal;normal;new;new;new;no
services;single;secondary;no;yes;no;unknown;may;unknown;young;rich;short;new;new;new;no
technician;single;secondary;no;yes;no;cellular;may;failure;mid;rich;short;try-harder;old;old;no
blue-collar;married;primary;no;yes;no;cellular;may;unknown;mid;rich;overtime;try-harder;new;new;no
blue-collar;single;secondary;no;no;no;cellular;mar;unknown;mid;normal;long;repeat;new;new;yes
services;divorced;secondary;no;no;no;unknown;jun;unknown;mid;normal;long;repeat;new;new;no
self-employed;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
entrepreneur;divorced;tertiary;no;no;no;cellular;nov;unknown;mid;normal;overtime;new;new;new;no
blue-collar;divorced;primary;no;no;no;unknown;jun;unknown;mid;rich;overtime;repeat;new;new;no
management;divorced;tertiary;no;yes;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;yes
blue-collar;single;secondary;no;yes;no;cellular;may;unknown;young;rich;short;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
technician;divorced;secondary;no;no;no;cellular;jul;unknown;mid;normal;long;new;new;new;no
self-employed;married;tertiary;no;no;no;cellular;feb;success;mid;rich;long;repeat;old;old;yes
blue-collar;divorced;secondary;no;no;yes;telephone;jul;unknown;mid;normal;long;repeat;new;new;no
management;divorced;tertiary;no;yes;no;unknown;jun;unknown;mid;normal;long;try-harder;new;new;no
blue-collar;single;secondary;no;no;yes;cellular;may;unknown;mid;normal;normal;repeat;new;new;no
management;single;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
retired;divorced;primary;no;no;no;cellular;jul;unknown;mid;normal;overtime;repeat;new;new;no
management;married;tertiary;no;yes;no;cellular;apr;unknown;mid;normal;long;new;new;new;no
admin.;married;tertiary;no;yes;no;cellular;apr;unknown;mid;rich;long;new;new;new;yes
blue-collar;married;primary;no;yes;no;unknown;may;unknown;mid;normal;normal;repeat;new;new;no
admin.;married;secondary;no;yes;no;cellular;apr;unknown;mid;normal;long;new;new;new;no
housemaid;married;primary;no;no;no;cellular;aug;unknown;mid;normal;normal;try-harder;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;overtime;repeat;new;new;no
management;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;normal;try-harder;new;new;no
management;single;tertiary;no;yes;yes;cellular;nov;failure;mid;normal;long;new;old;old;no
services;married;secondary;no;yes;no;unknown;may;unknown;mid;bust;overtime;new;new;new;no
student;single;secondary;no;no;no;telephone;may;failure;young;normal;long;try-harder;old;old;no
technician;married;secondary;no;yes;yes;cellular;apr;unknown;mid;normal;overtime;repeat;new;new;no
technician;single;tertiary;no;yes;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
admin.;single;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
entrepreneur;married;tertiary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
blue-collar;married;secondary;no;yes;yes;cellular;apr;unknown;young;normal;long;repeat;new;new;no
management;married;tertiary;no;yes;no;cellular;jun;unknown;mid;rich;long;new;new;new;no
management;married;tertiary;no;yes;no;cellular;nov;unknown;mid;normal;long;repeat;new;new;no
technician;single;secondary;no;yes;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;yes
management;married;tertiary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
management;married;tertiary;no;no;no;unknown;jun;unknown;mid;normal;short;try-harder;new;new;no
student;single;secondary;no;no;no;cellular;aug;unknown;young;rich;long;repeat;new;new;no
entrepreneur;married;primary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
management;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
admin.;married;secondary;no;yes;no;cellular;jul;unknown;mid;normal;normal;repeat;new;new;no
retired;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;short;try-harder;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;try-harder;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;may;unknown;mid;bust;overtime;new;new;new;yes
retired;married;secondary;no;no;no;unknown;jun;unknown;mid;normal;long;repeat;new;new;no
retired;married;secondary;no;yes;no;cellular;apr;unknown;mid;normal;overtime;repeat;new;new;yes
technician;married;secondary;no;yes;no;cellular;aug;failure;mid;normal;long;new;old;old;yes
admin.;married;secondary;no;yes;yes;unknown;oct;unknown;mid;rich;long;new;new;new;yes
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;short;new;new;new;no
admin.;married;tertiary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;jun;unknown;mid;rich;long;repeat;new;new;no
retired;married;secondary;no;no;no;telephone;jul;unknown;mid;normal;long;repeat;new;new;yes
admin.;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;short;repeat;new;new;no
housemaid;single;secondary;no;no;no;cellular;jul;unknown;mid;normal;normal;repeat;new;new;no
admin.;married;secondary;no;yes;yes;unknown;may;unknown;mid;normal;long;repeat;new;new;no
technician;married;secondary;no;yes;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
management;married;tertiary;no;yes;no;cellular;jan;other;mid;bust;long;new;old;old;no
retired;single;primary;no;no;no;unknown;jun;unknown;mid;rich;normal;new;new;new;no
management;single;primary;no;no;no;unknown;jun;unknown;mid;normal;normal;repeat;new;new;no
technician;single;secondary;no;yes;no;cellular;may;unknown;young;normal;overtime;new;new;new;no
admin.;married;unknown;no;no;no;cellular;nov;unknown;mid;rich;normal;new;new;new;no
admin.;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;long;repeat;new;new;no
technician;married;secondary;no;yes;no;unknown;may;unknown;mid;rich;long;new;new;new;no
management;married;tertiary;no;yes;no;unknown;may;unknown;mid;rich;long;try-harder;new;new;no
management;married;tertiary;no;yes;yes;unknown;may;unknown;mid;normal;short;new;new;new;no
management;single;secondary;no;no;no;cellular;aug;unknown;mid;rich;normal;repeat;new;new;no
blue-collar;divorced;secondary;no;yes;no;cellular;apr;failure;mid;normal;long;new;old;old;yes
admin.;divorced;secondary;no;yes;yes;telephone;jul;unknown;mid;rich;long;repeat;new;new;no
admin.;single;secondary;no;yes;no;cellular;aug;other;mid;normal;long;try-harder;old;old;no
blue-collar;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;overtime;repeat;new;new;no
unemployed;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
management;married;tertiary;no;no;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
retired;married;primary;no;yes;no;cellular;jan;unknown;mid;normal;long;new;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;apr;unknown;young;normal;overtime;repeat;new;new;no
services;married;secondary;no;no;no;cellular;dec;success;mid;normal;long;repeat;old;old;yes
services;married;secondary;no;yes;no;cellular;jul;unknown;young;normal;long;repeat;new;new;no
blue-collar;married;secondary;no;no;no;unknown;jun;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;bust;overtime;new;new;new;no
admin.;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;long;new;new;new;no
blue-collar;divorced;secondary;yes;yes;no;cellular;jul;unknown;mid;bust;normal;repeat;new;new;no
services;divorced;secondary;no;yes;no;cellular;may;unknown;mid;normal;long;repeat;new;new;no
management;single;tertiary;no;no;no;cellular;nov;unknown;mid;rich;long;new;new;new;no
entrepreneur;married;secondary;no;no;no;telephone;aug;success;old;rich;long;repeat;old;old;yes
management;single;tertiary;no;yes;no;cellular;apr;unknown;young;normal;normal;new;new;new;no
management;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
retired;married;primary;no;no;no;telephone;jul;unknown;mid;normal;long;new;new;new;no
management;married;tertiary;no;no;no;cellular;aug;success;mid;normal;overtime;new;old;old;yes
services;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;new;new;new;no
technician;married;secondary;no;yes;yes;unknown;may;unknown;mid;bust;overtime;repeat;new;new;no
blue-collar;married;primary;no;yes;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;no
services;divorced;secondary;no;yes;no;unknown;may;unknown;mid;bust;long;new;new;new;no
unemployed;married;tertiary;no;yes;no;cellular;nov;unknown;mid;normal;overtime;new;new;new;no
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
management;married;secondary;no;yes;no;cellular;jul;unknown;mid;rich;long;try-harder;new;new;no
admin.;single;secondary;no;yes;yes;unknown;may;unknown;mid;normal;short;try-harder;new;new;no
technician;single;unknown;no;yes;yes;cellular;nov;failure;mid;rich;short;new;old;old;no
blue-collar;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;long;repeat;new;new;yes
blue-collar;married;secondary;no;yes;no;cellular;may;other;mid;normal;short;try-harder;old;old;no
housemaid;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
management;single;tertiary;no;yes;no;cellular;apr;failure;mid;normal;short;new;old;old;no
technician;divorced;tertiary;no;yes;yes;unknown;jun;unknown;young;normal;short;repeat;new;new;no
unemployed;married;tertiary;no;yes;yes;unknown;may;unknown;young;normal;short;try-harder;new;new;no
unknown;married;secondary;no;no;no;cellular;nov;other;mid;rich;normal;new;old;old;yes
admin.;married;tertiary;no;no;no;cellular;mar;failure;mid;normal;long;repeat;old;old;yes
technician;single;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
admin.;divorced;secondary;no;no;yes;cellular;nov;unknown;mid;normal;long;new;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
admin.;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;try-harder;new;new;no
housemaid;married;primary;no;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
housemaid;married;primary;no;no;no;cellular;jul;success;old;normal;long;repeat;old;old;no
services;divorced;secondary;no;yes;no;unknown;may;unknown;young;normal;normal;try-harder;new;new;no
blue-collar;married;secondary;no;yes;no;cellular;jul;unknown;mid;normal;overtime;new;new;new;yes
self-employed;married;secondary;no;no;yes;cellular;aug;unknown;mid;rich;long;repeat;new;new;no
self-employed;married;tertiary;no;no;no;cellular;jul;unknown;mid;normal;overtime;try-harder;new;new;no
management;single;tertiary;no;no;no;cellular;oct;unknown;mid;normal;short;repeat;new;new;no
services;married;primary;no;no;yes;cellular;jul;unknown;mid;normal;short;try-harder;new;new;no
blue-collar;single;primary;no;yes;no;unknown;may;unknown;mid;bust;normal;repeat;new;new;no
blue-collar;married;primary;no;no;no;cellular;aug;unknown;mid;normal;normal;try-harder;new;new;no
technician;married;secondary;no;yes;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
management;single;tertiary;no;yes;no;cellular;aug;unknown;mid;bust;short;try-harder;new;new;no
technician;single;tertiary;no;no;no;cellular;apr;unknown;mid;normal;long;new;new;new;no
technician;married;secondary;no;no;no;unknown;jun;unknown;mid;normal;long;new;new;new;no
technician;married;tertiary;no;yes;no;cellular;may;other;mid;normal;long;new;old;old;no
management;divorced;tertiary;no;no;no;cellular;nov;failure;mid;rich;long;new;old;old;no
technician;single;secondary;no;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
housemaid;married;primary;no;yes;no;unknown;jun;unknown;mid;rich;overtime;repeat;new;new;no
management;married;tertiary;no;no;no;cellular;feb;failure;mid;normal;long;new;old;old;no
management;married;tertiary;no;yes;no;cellular;may;unknown;young;normal;long;new;new;new;no
management;married;tertiary;no;yes;no;cellular;feb;unknown;mid;rich;long;repeat;new;new;no
blue-collar;married;unknown;no;no;no;telephone;jul;unknown;mid;normal;normal;repeat;new;new;no
blue-collar;single;primary;no;yes;no;cellular;may;failure;mid;normal;long;new;old;old;no
management;married;tertiary;no;no;no;cellular;nov;unknown;mid;rich;short;new;new;new;no
blue-collar;married;secondary;no;no;yes;unknown;oct;failure;mid;normal;short;new;old;old;no
blue-collar;single;secondary;no;yes;no;cellular;jul;unknown;mid;normal;normal;new;new;new;no
management;single;tertiary;no;no;no;cellular;nov;other;mid;normal;short;new;old;old;no
technician;married;secondary;no;no;no;cellular;apr;failure;mid;normal;long;repeat;old;old;yes
blue-collar;divorced;primary;no;no;yes;cellular;jul;unknown;mid;bust;overtime;try-harder;new;new;no
technician;married;secondary;no;no;no;cellular;oct;other;mid;normal;long;repeat;old;old;yes
technician;married;secondary;no;yes;no;cellular;sep;failure;mid;rich;long;repeat;old;old;no
technician;single;secondary;no;no;no;cellular;oct;unknown;mid;rich;long;new;new;new;no
technician;divorced;secondary;no;no;yes;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
admin.;married;secondary;no;yes;no;cellular;apr;unknown;mid;rich;long;new;new;new;no
management;married;tertiary;no;yes;no;unknown;may;unknown;young;normal;short;repeat;new;new;no
technician;single;tertiary;no;yes;no;cellular;may;failure;mid;bust;normal;try-harder;old;old;no
retired;married;secondary;no;no;no;unknown;jun;unknown;old;rich;overtime;new;new;new;no
management;single;tertiary;no;yes;no;telephone;may;unknown;young;rich;overtime;repeat;new;new;no
entrepreneur;married;secondary;no;no;yes;cellular;jul;unknown;mid;normal;normal;new;new;new;no
entrepreneur;married;tertiary;no;no;no;unknown;jun;unknown;mid;rich;short;new;new;new;no
technician;married;tertiary;no;no;no;cellular;may;failure;mid;rich;normal;try-harder;old;old;no
technician;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
technician;married;unknown;no;no;no;cellular;oct;success;mid;normal;long;new;old;old;yes
blue-collar;divorced;secondary;no;yes;no;unknown;jun;unknown;mid;rich;normal;new;new;new;no
retired;married;secondary;no;no;no;cellular;aug;unknown;old;normal;overtime;repeat;new;new;no
management;single;unknown;no;no;no;cellular;jan;unknown;mid;normal;normal;new;new;new;no
technician;divorced;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
management;single;tertiary;no;yes;no;cellular;may;failure;mid;normal;long;repeat;old;old;no
management;married;tertiary;no;no;no;cellular;feb;unknown;young;normal;long;repeat;new;new;no
admin.;single;secondary;no;yes;no;cellular;nov;unknown;mid;rich;long;new;new;new;no
management;divorced;tertiary;no;yes;yes;cellular;jul;unknown;mid;rich;normal;new;new;new;no
services;single;secondary;no;yes;yes;cellular;jul;unknown;young;normal;normal;repeat;new;new;no
blue-collar;married;primary;no;no;no;cellular;jul;unknown;mid;normal;normal;new;new;new;no
retired;married;tertiary;no;yes;yes;unknown;may;unknown;mid;normal;overtime;new;new;new;yes
services;single;secondary;no;yes;no;cellular;nov;other;mid;normal;long;repeat;old;old;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;rich;short;new;new;new;no
technician;divorced;secondary;no;no;no;cellular;aug;unknown;mid;normal;short;try-harder;new;new;no
entrepreneur;divorced;primary;no;yes;no;unknown;may;unknown;mid;normal;overtime;repeat;new;new;no
management;single;tertiary;no;yes;no;unknown;may;unknown;mid;rich;short;try-harder;new;new;no
technician;married;secondary;no;yes;no;unknown;may;unknown;mid;bust;normal;new;new;new;no
management;divorced;tertiary;no;no;no;cellular;jun;unknown;old;normal;overtime;new;new;new;yes
housemaid;married;primary;no;yes;yes;cellular;aug;unknown;mid;normal;short;repeat;new;new;no
management;married;tertiary;no;yes;no;cellular;jan;unknown;mid;normal;long;repeat;new;new;no
self-employed;married;primary;no;yes;no;telephone;jul;unknown;mid;normal;normal;repeat;new;new;no
management;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
blue-collar;married;secondary;no;yes;yes;cellular;may;unknown;mid;bust;short;try-harder;new;new;no
management;single;tertiary;no;no;no;cellular;jun;unknown;young;normal;long;repeat;new;new;no
retired;married;secondary;no;no;no;unknown;jun;unknown;mid;normal;normal;repeat;new;new;no
technician;divorced;secondary;no;yes;no;cellular;nov;unknown;mid;rich;long;repeat;new;new;no
admin.;married;secondary;no;no;no;cellular;nov;unknown;mid;normal;long;new;new;new;yes
admin.;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
management;divorced;tertiary;no;yes;no;telephone;aug;unknown;mid;normal;short;repeat;new;new;no
admin.;married;secondary;no;no;yes;cellular;may;failure;mid;normal;long;new;old;old;no
technician;single;tertiary;no;no;no;cellular;jul;unknown;mid;normal;overtime;repeat;new;new;no
blue-collar;married;secondary;no;yes;yes;unknown;jun;unknown;mid;normal;overtime;try-harder;new;new;no
blue-collar;married;unknown;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
management;single;tertiary;no;no;no;cellular;oct;unknown;mid;normal;normal;repeat;new;new;no
management;single;tertiary;no;yes;no;cellular;may;failure;mid;normal;long;new;old;old;no
blue-collar;divorced;secondary;no;no;no;unknown;jun;unknown;mid;normal;long;try-harder;new;new;no
unemployed;single;tertiary;no;no;no;cellular;feb;unknown;young;normal;overtime;new;new;new;no
services;married;secondary;no;yes;yes;unknown;may;unknown;mid;normal;long;new;new;new;no
unemployed;married;secondary;no;yes;no;cellular;may;other;mid;normal;short;repeat;old;old;no
self-employed;single;tertiary;no;no;no;cellular;jun;unknown;mid;rich;normal;repeat;new;new;no
blue-collar;married;secondary;no;yes;yes;cellular;nov;unknown;mid;normal;overtime;new;new;new;no
technician;single;tertiary;no;no;no;cellular;apr;success;mid;rich;long;new;old;old;yes
blue-collar;married;secondary;no;yes;no;unknown;sep;success;mid;normal;short;new;old;old;no
management;married;tertiary;no;yes;no;unknown;may;unknown;mid;normal;overtime;new;new;new;yes
admin.;married;secondary;no;no;no;cellular;may;unknown;mid;normal;overtime;repeat;new;new;no
management;married;tertiary;no;no;no;unknown;jun;unknown;mid;rich;long;new;new;new;no
admin.;single;secondary;no;no;no;cellular;apr;unknown;mid;normal;overtime;new;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;jun;unknown;mid;normal;long;try-harder;new;new;no
technician;single;secondary;no;yes;no;cellular;apr;success;mid;rich;overtime;new;old;old;no
management;married;tertiary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
housemaid;married;primary;no;no;no;unknown;jun;unknown;old;normal;overtime;repeat;new;new;no
management;married;tertiary;no;yes;no;cellular;may;failure;mid;bust;overtime;repeat;old;old;no
self-employed;single;tertiary;no;no;no;cellular;jan;unknown;young;rich;overtime;repeat;new;new;yes
blue-collar;divorced;secondary;no;yes;no;cellular;jul;unknown;young;normal;normal;repeat;new;new;no
management;married;tertiary;no;no;no;cellular;apr;unknown;mid;rich;long;new;new;new;yes
technician;married;tertiary;no;yes;no;cellular;may;unknown;mid;normal;long;repeat;new;new;yes
services;married;secondary;no;no;no;cellular;may;success;mid;normal;long;new;old;old;yes
management;married;tertiary;no;yes;no;unknown;may;unknown;mid;normal;long;repeat;new;new;no
self-employed;married;secondary;no;yes;no;unknown;may;unknown;mid;bust;long;repeat;new;new;no
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
admin.;married;secondary;no;yes;no;unknown;may;unknown;mid;bust;overtime;repeat;new;new;no
technician;married;tertiary;no;no;no;cellular;oct;success;old;normal;long;repeat;old;old;no
technician;married;secondary;no;yes;no;cellular;may;unknown;young;normal;long;repeat;new;new;no
blue-collar;married;primary;no;no;no;unknown;jun;unknown;mid;rich;long;new;new;new;no
technician;single;secondary;no;no;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
retired;divorced;tertiary;no;no;no;unknown;may;unknown;mid;normal;overtime;new;new;new;yes
blue-collar;married;secondary;no;yes;no;cellular;jan;unknown;mid;normal;long;repeat;new;new;no
entrepreneur;single;secondary;no;no;yes;cellular;jul;unknown;mid;normal;overtime;repeat;new;new;no
blue-collar;single;secondary;no;yes;no;cellular;apr;failure;mid;normal;long;new;old;old;no
management;married;secondary;no;yes;no;cellular;may;failure;mid;normal;short;new;old;old;no
self-employed;married;tertiary;no;no;no;cellular;jun;failure;mid;normal;long;try-harder;old;old;no
blue-collar;married;primary;no;no;no;telephone;oct;unknown;old;rich;long;new;new;new;no
management;married;tertiary;no;no;no;telephone;apr;unknown;old;normal;long;repeat;new;new;no
technician;divorced;secondary;no;no;no;cellular;jul;unknown;mid;normal;long;new;new;new;no
management;single;tertiary;no;yes;no;cellular;may;unknown;mid;rich;long;new;new;new;no
self-employed;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;short;new;new;new;no
technician;married;secondary;no;no;no;cellular;apr;unknown;mid;normal;long;repeat;new;new;no
services;divorced;secondary;no;yes;no;cellular;may;unknown;mid;normal;long;repeat;new;new;no
retired;married;primary;no;yes;no;unknown;jun;unknown;mid;rich;normal;try-harder;new;new;no
entrepreneur;married;tertiary;no;yes;yes;cellular;aug;unknown;mid;rich;long;repeat;new;new;no
blue-collar;married;unknown;no;no;no;cellular;feb;failure;mid;normal;overtime;new;old;old;no
management;married;tertiary;no;no;no;cellular;feb;unknown;old;rich;overtime;repeat;new;new;yes
entrepreneur;married;primary;no;yes;no;unknown;may;unknown;mid;normal;normal;try-harder;new;new;no
management;married;tertiary;no;no;yes;cellular;jul;unknown;young;rich;normal;repeat;new;new;no
retired;single;secondary;no;no;yes;cellular;feb;failure;mid;normal;normal;try-harder;old;old;no
admin.;divorced;secondary;no;yes;no;cellular;may;failure;old;normal;long;new;old;old;no
admin.;single;secondary;no;no;no;cellular;may;unknown;old;rich;long;repeat;new;new;no
management;single;tertiary;no;no;no;cellular;aug;failure;mid;normal;long;try-harder;old;old;yes
self-employed;married;secondary;no;yes;no;cellular;may;unknown;mid;rich;normal;try-harder;new;new;no
services;married;secondary;no;no;no;unknown;jun;unknown;mid;normal;overtime;repeat;new;new;no
technician;single;secondary;no;no;no;cellular;apr;unknown;young;normal;long;new;new;new;no
management;single;tertiary;no;no;no;cellular;may;success;young;rich;long;repeat;old;old;no
blue-collar;married;primary;no;yes;yes;unknown;may;unknown;mid;normal;normal;new;new;new;no
unknown;married;unknown;no;no;no;unknown;jun;unknown;mid;rich;short;try-harder;new;new;no
blue-collar;married;primary;no;no;no;telephone;jul;unknown;mid;normal;long;repeat;new;new;no
admin.;married;tertiary;no;no;no;cellular;jul;unknown;mid;normal;long;new;new;new;no
self-employed;married;secondary;no;yes;no;cellular;apr;unknown;mid;normal;long;repeat;new;new;no
admin.;single;secondary;no;no;yes;cellular;jul;unknown;young;normal;long;new;new;new;no
management;divorced;tertiary;no;yes;yes;unknown;nov;other;mid;rich;short;new;old;old;no
